Frage;Antwort;Fundstellen im IT-Grundschutz-Kompendium 2023
Welche Auswirkungen haben Denial-of-Service (DoS)-Angriffe auf einen Webserver?;DoS- und DDoS-Angriffe können die Verfügbarkeit eines Webangebots erheblich beeinträchtigen. Durch Überlastung kann der Webserver teilweise oder vollständig außer Betrieb gehen, wodurch Clients das Angebot nicht mehr nutzen können. Für geschäftskritische Angebote wie Online-Shops kann ein solcher Ausfall schnell zu erheblichen wirtschaftlichen Schäden führen.;"APP.3.2 Webserver 2.3. Denial of Service (DoS)
Durch DoS-Angriffe lässt sich die Verfügbarkeit eines Webangebotes gezielt beeinträchtigen, indem beispielsweise einzelne Accounts durch fehlerhafte Anmeldungen gesperrt werden. Durch DDoS (Distributed Denial of Service)-Angriffe kann ein Webserver teilweise oder auch ganz ausfallen. Für Clients ist das Webangebot dann nur noch sehr langsam oder gar nicht mehr verfügbar. Für viele Institutionen kann ein solcher Ausfall schnell geschäftskritisch werden, z. B. für Online-Shops."
Wer trägt die Gesamtverantwortung für Informationssicherheit in der Organisastion?;Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit übernehmen. Sie muss den Sicherheitsprozess initiieren, steuern und kontrollieren sowie Informationssicherheit vorleben.;"ISMS.1.A1 Übernahme der Gesamtverantwortung für Informationssicherheit  durch die Leitung (B) [Institutionsleitung]  
Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit in der Institution  übernehmen. Dies MUSS für alle Beteiligten deutlich erkennbar sein. Die Institutionsleitung MUSS den Sicherheitsprozess initiieren, steuern und kontrollieren. Die Institutionsleitung MUSS Informationssicherheit vorleben. Die Institutionsleitung MUSS die Zuständigkeiten für Informationssicherheit festlegen. Die zuständigen Mitarbeitenden MÜSSEN mit den erforderlichen Kompetenzen und Ressourcen ausgestattet werden. Die Institutionsleitung MUSS sich regelmäßig über den Status der Informationssicherheit informieren lassen. Insbesondere MUSS sich die Institutionsleitung über mögliche Risiken und Konsequenzen aufgrund fehlender Sicherheitsmaßnahmen informieren lassen. "
Was muss eine Leitlinie zur Informationssicherheit enthalten?;Die Leitlinie muss den Stellenwert der Informationssicherheit, die Sicherheitsziele, die wichtigsten Aspekte der Sicherheitsstrategie sowie die Organisationsstruktur für Informationssicherheit beschreiben. Außerdem muss ein klarer Geltungsbereich festgelegt und der Bezug zu den Geschäftszielen erläutert werden.;"ISMS.1.A3 Erstellung einer Leitlinie zur Informationssicherheit (B) [Institutionsleitung]  
Die Institutionsleitung MUSS eine übergeordnete Leitlinie zur Informationssicherheit verabschieden. Diese MUSS den Stellenwert der Informationssicherheit, die Sicherheitsziele, die wichtigsten Aspekte der Sicherheitsstrategie sowie die Organisationsstruktur für nformationssicherheit beschreiben. Für die Sicherheitsleitlinie MUSS ein klarer Geltungsbereich festgelegt sein. In der Leitlinie zur Informationssicherheit MÜSSEN die Sicherheitsziele und der Bezug der Sicherheitsziele zu den Geschäftszielen und Aufgaben der Institution erläutert erden. Die Institutionsleitung MUSS die Leitlinie zur Informationssicherheit allen Mitarbeitenden und sonstigen Mitgliedern der Institution bekannt geben. Die Leitlinie zur Informationssicherheit SOLLTE regelmäßig aktualisiert werden. "
Welche Gefahr besteht, wenn die Institutionsleitung den Sicherheitsprozess nicht ausreichend unterstützt?;Ohne uneingeschränkte Unterstützung durch die Institutionsleitung können Sicherheitsverantwortliche Schwierigkeiten haben, notwendige Maßnahmen einzufordern, insbesondere bei Personen, die in der Linienstruktur über ihnen stehen. Der Sicherheitsprozess ist dann nicht vollständig durchführbar.;"ISMS.1 Gefährdungslage Kap.2.2
2.2. Mangelnde Unterstützung durch die Institutionsleitung 
Werden die Sicherheitsverantwortlichen nicht uneingeschränkt durch die Institutionsleitung  unterstützt, kann es schwierig werden, die notwendigen Maßnahmen einzufordern. Dies gilt insbesondere für Personen, die in der Linienstruktur über den Sicherheitsverantwortlichen stehen. In diesem Fall ist der Sicherheitsprozess nicht vollständig durchführbar."
Wie oft sollte das Sicherheitskonzept überprüft werden?;Der Sicherheitsprozess, die Sicherheitskonzepte und die Organisationsstruktur sollten regelmäßig auf Wirksamkeit und Angemessenheit überprüft werden. Überprüfungen des Sicherheitsniveaus sollten mindestens jährlich sowie anlassbezogen durchgeführt werden.;"ISMS.1.A11 Aufrechterhaltung der Informationssicherheit (S) 
Der Sicherheitsprozess, die Sicherheitskonzepte, die Leitlinie zur Informationssicherheit und die  Organisationsstruktur für Informationssicherheit SOLLTEN regelmäßig auf Wirksamkeit und  Angemessenheit überprüft und aktualisiert werden. Dazu SOLLTEN regelmäßig Vollständigkeits- bzw. Aktualisierungsprüfungen des Sicherheitskonzeptes durchgeführt werden. Ebenso SOLLTEN regelmäßig Sicherheitsrevisionen durchgeführt werden. Dazu SOLLTE geregelt sein, welche Bereiche und Sicherheitsmaßnahmen wann und von wem zu überprüfen sind. Überprüfungen des Sicherheitsniveaus SOLLTEN regelmäßig (mindestens jährlich) sowie anlassbezogen durchgeführt werden. Die Prüfungen SOLLTEN von qualifizierten und unabhängigen Personen durchgeführt werden. Die Ergebnisse der Überprüfungen SOLLTEN nachvollziehbar dokumentiert sein. Darauf aufbauend SOLLTEN Mängel beseitigt und Korrekturmaßnahmen ergriffen werden. "
Was kann passieren, wenn gegen gesetzliche Regelungen verstoßen wird?;Wenn Informationen und IT-Systeme unzureichend abgesichert sind, kann gegen Rechtsvorschriften zur Informationsverarbeitung oder bestehende Verträge verstoßen werden. Dies kann rechtliche Konsequenzen, Vertragsstrafen, Vertragsauflösungen oder den Verlust von Geschäftsbeziehungen nach sich ziehen.;"ISMS.1 Gefährdungslage Kap. 2.7
2.7. Verstoß gegen gesetzliche Regelungen und vertragliche Vereinbarungen 
Wenn Informationen, Geschäftsprozesse und IT-Systeme einer Institution unzureichend abgesichert sind, beispielsweise durch ein unzureichendes Sicherheitsmanagement, kann gegen Rechtsvorschriften mit Bezug zur Informationsverarbeitung oder gegen bestehende Verträge mit Geschäftspartnern und -partnerinnen verstoßen werden. Welche Gesetze jeweils zu beachten sind, hängt von der Art der Institution beziehungsweise ihrer Geschäftsprozesse und Dienstleistungen ab. Je nachdem, wo sich die Standorte einer Institution befinden, können auch verschiedene nationale und internationale Vorschriften zu beachten sein. Verfügt eine Institution über unzureichende Kenntnisse hinsichtlich internationaler Gesetzesvorgaben, z. B. zu Datenschutz, Informationspflicht, Insolvenzrecht, Haftung oder Informationszugriff für Dritte, erhöht dies das Risiko entsprechender Verstöße. Dann drohen rechtliche Konsequenzen. In vielen Branchen ist es üblich, dass Anwendende ihre Zuliefer- und Dienstleistungsunternehmen dazu verpflichten, bestimmte Qualitäts- und Sicherheitsstandards einzuhalten. Verstößt ein 
Vertragspartner oder -partnerin gegen vertraglich geregelte Sicherheitsanforderungen, kann dies Vertragsstrafen, Vertragsauflösungen oder sogar den Verlust von Geschäftsbeziehungen nach sich ziehen. "
Wie müssen Mitarbeitende in den Sicherheitsprozess integriert werden?;Alle Mitarbeitenden müssen über Hintergründe und relevante Gefährdungen informiert sein. Sie müssen Sicherheitsmaßnahmen kennen und umsetzen, die ihren Arbeitsplatz betreffen. Sie sollten frühzeitig beteiligt werden, wenn Sicherheitsmaßnahmen zu planen sind, und müssen über Konsequenzen bei Verstößen aufgeklärt werden.;"ISMS.1.A8 Integration der Mitarbeitenden in den Sicherheitsprozess (B) [Vorgesetzte]  
Alle Mitarbeitenden MÜSSEN in den Sicherheitsprozess integriert sein. Hierfür MÜSSEN sie über Hintergründe und die für sie relevanten Gefährdungen informiert sein. Sie MÜSSEN Sicherheitsmaßnahmen kennen und umsetzen, die ihren Arbeitsplatz betreffen. Alle Mitarbeitenden MÜSSEN in die Lage versetzt werden, Sicherheit aktiv mitzugestalten. Daher SOLLTEN die Mitarbeitenden frühzeitig beteiligt werden, wenn Sicherheitsmaßnahmen zu planen oder organisatorische Regelungen zu gestalten sind. Bei der Einführung von Sicherheitsrichtlinien und Sicherheitswerkzeugen MÜSSEN die Mitarbeitenden ausreichend informiert sein, wie diese anzuwenden sind. Die Mitarbeitenden MÜSSEN darüber aufgeklärt werden, welche Konsequenzen eine Verletzung der Sicherheitsvorgaben haben kann. "
Welche Vertretungsregelungen müssen im Sicherheitsmanagement existieren?;Für alle wichtigen Informationssicherheitsfunktionen muss es wirksame Vertretungen geben. Die Kommunikationswege müssen geplant, dokumentiert, eingerichtet und allen bekannt sein. Es muss klar sein, wer welche Informationen erhält und wer bei welchen Maßnahmen informiert werden muss. Außerdem muss regelmäßig überprüft werden, ob die Organisationsstruktur der Informationssicherheit noch passend ist oder angepasst werden muss.;"ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit (B) [Institutionsleitung]  
Eine geeignete übergreifende Organisationsstruktur für Informationssicherheit MUSS vorhanden sein. Dafür MÜSSEN Rollen definiert sein, die konkrete Aufgaben übernehmen, um die Sicherheitsziele zu erreichen. Außerdem MÜSSEN qualifizierte Personen benannt werden, denen ausreichend Ressourcen zur Verfügung stehen, um diese Rollen zu übernehmen. Die Aufgaben, Rollen, Verantwortungen und Kompetenzen im Sicherheitsmanagement MÜSSEN nachvollziehbar definiert und zugewiesen sein. Für alle wichtigen Funktionen der Organisation für Informationssicherheit MUSS es wirksame Vertretungsregelungen geben. Kommunikationswege MÜSSEN geplant, beschrieben, eingerichtet und bekannt gemacht werden. Es MUSS für alle Aufgaben und Rollen festgelegt sein, wer wen informiert und wer bei welchen Aktionen 
in welchem Umfang informiert werden muss. Es MUSS regelmäßig geprüft werden, ob die Organisationsstruktur für Informationssicherheit noch angemessen ist oder ob sie an neue Rahmenbedingungen angepasst werden muss."
Was sollten Management-Berichte zur Informationssicherheit enthalten?;Managementberichte zur Informationssicherheit sollten der Leitung der Organisation einen klaren Überblick über den Sicherheitsstatus geben. Sie sollten insbesondere Informationen zur aktuellen Gefährdungslage und zur Wirksamkeit sowie Effizienz der Sicherheitsmaßnahmen enthalten. Außerdem sollen sie Probleme, Erfolge und mögliche Verbesserungen im Sicherheitsprozess darstellen. Die Berichte sollten priorisierte Maßnahmenvorschläge enthalten, die mit realistischen Einschätzungen zum erwarteten Umsetzungsaufwand versehen sind. Managemententscheidungen über erforderliche Maßnahmen, den Umgang mit verbleibenden Risiken und Änderungen an sicherheitsrelevanten Prozessen sollten dokumentiert und revisionssicher archiviert werden.;"ISMS.1.A12 Management-Berichte zur Informationssicherheit (S) [Institutionsleitung]  
Die Institutionsleitung SOLLTE sich regelmäßig über den Stand der Informationssicherheit informieren, insbesondere über die aktuelle Gefährdungslage sowie die Wirksamkeit und Effizienz des Sicherheitsprozesses. Dazu SOLLTEN Management-Berichte geschrieben werden, welche die wesentlichen relevanten Informationen über den Sicherheitsprozess enthalten, insbesondere über Probleme, Erfolge und Verbesserungsmöglichkeiten. Die Management-Berichte SOLLTEN klar priorisierte Maßnahmenvorschläge enthalten. Die Maßnahmenvorschläge SOLLTEN mit realistischen Abschätzungen zum erwarteten Umsetzungsaufwand versehen sein. Die Management-Berichte SOLLTEN revisionssicher archiviert werden. Die Management-Entscheidungen über erforderliche Aktionen, den Umgang mit Restrisiken und mit 
Veränderungen von sicherheitsrelevanten Prozessen SOLLTEN dokumentiert sein. Die Management-Entscheidungen SOLLTEN revisionssicher archiviert werden.

"
Welche Risiken entstehen durch fehlende Aktualisierung im Sicherheitsprozess?;Neue Geschäftsprozesse, Anwendungen, IT-Systeme und Bedrohungen beeinflussen permanent den Status der Informationssicherheit. Ohne effektives Revisionskonzept verringert sich das Sicherheitsniveau, und aus realer Sicherheit wird schleichend eine gefährliche Scheinsicherheit.;"ISMS.1 Gefährdungslage Kap 2.6
2.6. Fehlende Aktualisierung im Sicherheitsprozess Neue Geschäftsprozesse, Anwendungen und IT-Systeme sowie neue Bedrohungen beeinflussen permanent den Status der Informationssicherheit innerhalb einer Institution. Fehlt ein effektives Revisionskonzept, das auch das Bewusstsein für neue Bedrohungen stärkt, verringert sich das Sicherheitsniveau. Aus der realen Sicherheit wird dann schleichend eine gefährliche Scheinsicherheit. "
Muss es für Telearbeit formale Regelungen geben?;Alle relevanten Aspekte der Telearbeit müssen geregelt und den Telearbeitenden in Form von Regelungen oder einem Merkblatt ausgehändigt werden. Strittige Punkte müssen durch Betriebsvereinbarungen oder individuelle Vereinbarungen geklärt werden. Die Regelungen müssen regelmäßig aktualisiert werden.;OPS.1.2.4.A1 Regelungen für Telearbeit (B) [Vorgesetzte, Personalabteilung] Alle relevanten Aspekte der Telearbeit MÜSSEN geregelt werden. Zu Informationszwecken MÜSSEN den Telearbeitenden die geltenden Regelungen oder ein dafür vorgesehenes Merkblatt ausgehändigt werden, das die zu beachtenden Sicherheitsmaßnahmen erläutert. Alle strittigen Punkte MÜSSEN entweder durch Betriebsvereinbarungen oder durch zusätzlich zum Arbeitsvertrag getroffene individuelle Vereinbarungen zwischen dem Mitarbeitenden und der Institution geregelt werden. Die Regelungen MÜSSEN regelmäßig aktualisiert werden.
Welche grundlegenden Sicherheitsanforderungen gelten für Telearbeitsrechner?;Es müssen sicherheitstechnische Anforderungen festgelegt werden, die ein IT-System für die Telearbeit erfüllen muss. Es muss sichergestellt werden, dass nur autorisierte Personen Zugang zu den Telearbeitsrechnern haben. Darüber hinaus muss der Telearbeitsrechner so abgesichert werden, dass er nur für autorisierte Zwecke benutzt werden kann.;OPS.1.2.4.A2 Sicherheitstechnische Anforderungen an den Telearbeitsrechner (B) Es MÜSSEN sicherheitstechnische Anforderungen festgelegt werden, die ein IT-System für die Telearbeit erfüllen muss. Es MUSS sichergestellt werden, dass nur autorisierte Personen Zugang zu den Telearbeitsrechnern haben. Darüber hinaus MUSS der Telearbeitsrechner so abgesichert werden, dass er nur für autorisierte Zwecke benutzt werden kann.
Müssen Mitarbeitende speziell geschult werden?;Anhand eines Leitfadens müssen die Mitarbeitenden für die Gefahren sensibilisiert werden, die mit der Telearbeit verbunden sind. Außerdem MÜSSEN sie in die entsprechenden Sicherheitsmaßnahmen der Institution eingewiesen und im Umgang mit diesen geschult werden. Die Schulungs- und Sensibilisierungsmaßnahmen für Mitarbeitenden SOLLTEN regelmäßig wiederholt werden.;OPS.1.2.4.A5 Sensibilisierung und Schulung der Mitarbeitenden (B) Anhand eines Leitfadens MÜSSEN die Mitarbeitenden für die Gefahren sensibilisiert werden, die mit der Telearbeit verbunden sind. Außerdem MÜSSEN sie in die entsprechenden Sicherheitsmaßnahmen der Institution eingewiesen und im Umgang mit diesen geschult werden. Die Schulungs- und Sensibilisierungsmaßnahmen für Mitarbeitenden SOLLTEN regelmäßig wiederholt werden.
Muss es ein eigenes Sicherheitskonzept für Telearbeit geben?;Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden.;OPS.1.2.4.A6 Erstellen eines Sicherheitskonzeptes für Telearbeit (S) Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden.
Wie soll die Nutzung von Internet und Kommunikationsmitteln geregelt werden?;Es SOLLTE klar geregelt werden, welche Kommunikationsmöglichkeiten bei der Telearbeit unter welchen Rahmenbedingungen genutzt werden dürfen. Die dienstliche und private Nutzung von Internetdiensten bei der Telearbeit SOLLTE geregelt werden. Dabei SOLLTE auch geklärt werden, ob eine private Nutzung generell erlaubt oder unterbunden wird.;OPS.1.2.4.A7 Regelung der Nutzung von Kommunikationsmöglichkeiten bei Telearbeit (S) [IT-Betrieb, Mitarbeitende] Es SOLLTE klar geregelt werden, welche Kommunikationsmöglichkeiten bei der Telearbeit unter welchen Rahmenbedingungen genutzt werden dürfen. Die dienstliche und private Nutzung von Internetdiensten bei der Telearbeit SOLLTE geregelt werden. Dabei SOLLTE auch geklärt werden, ob eine private Nutzung generell erlaubt oder unterbunden wird.
Wie wird sichergestellt, dass Telearbeitende gut informiert bleiben?;Es sollte ein regelmäßiger innerbetrieblicher Informationsaustausch zwischen Mitarbeitenden und Institution gewährleistet sein. Alle Mitarbeitenden sollten zeitnah über geänderte Sicherheitsanforderungen und sicherheitsrelevante Aspekte informiert werden. Die Erreichbarkeit der Telearbeitenden sollte allen Kollegen bekannt sein. Technische und organisatorische Regelungen zur Aufgabenbewältigung, zu Sicherheitsvorfällen und sonstigen Problemen sollten festgelegt und kommuniziert werden.;OPS.1.2.4.A8 Informationsfluss zwischen Mitarbeitenden und Institution (S) [Vorgesetzte, Mitarbeitende] Ein regelmäßiger innerbetrieblicher Informationsaustausch zwischen den Mitarbeitenden und der Institution SOLLTE gewährleistet sein. Alle Mitarbeitenden SOLLTEN zeitnah über geänderte Sicherheitsanforderungen und andere sicherheitsrelevante Aspekte informiert werden. Allen Kollegen und Kolleginnen der jeweiligen Mitarbeitenden SOLLTE bekannt sein, wann und wo diese erreicht werden können. Technische und organisatorische Telearbeitsregelungen zur Aufgabenbewältigung, zu Sicherheitsvorfällen und sonstigen Problemen SOLLTEN geregelt und an die Mitarbeitenden kommuniziert werden.
Was muss zur Einrichtung eines Telearbeitsplatzes beachtet werden?;Vor Einrichtung eines Telearbeitsplatzes sollte eine Anforderungsanalyse durchgeführt werden, aus der die benötigten Hard- und Software-Komponenten hervorgehen. Die Anforderungen sollten mit den IT-Verantwortlichen abgestimmt werden. Der Schutzbedarf der am Telearbeitsplatz verarbeiteten Informationen sollte festgestellt und dokumentiert werden.;OPS.1.2.4.A10 Durchführung einer Anforderungsanalyse für den Telearbeitsplatz (S) [IT-Betrieb] Bevor ein Telearbeitsplatz eingerichtet wird, SOLLTE eine Anforderungsanalyse durchgeführt werden. Daraus SOLLTE z. B. hervorgehen, welche Hard- und Software-Komponenten für den Telearbeitsplatz benötigt werden. Die Anforderungen an den jeweiligen Telearbeitsplatz SOLLTEN mit den ITVerantwortlichen abgestimmt werden. Es SOLLTE immer festgestellt und dokumentiert werden, welchen Schutzbedarf die am Telearbeitsplatz verarbeiteten Informationen haben.
Wie werden Wartung und Support für Telearbeitsplätze organisiert?;Für Telearbeitsplätze SOLLTE ein spezielles Betreuungs- und Wartungskonzept erstellt werden. Darin SOLLTEN folgende Aspekte geregelt werden: Kontaktperson des IT-Betriebs, Wartungstermine, Fernwartung, Transport der IT-Geräte und Einführung von Standard-Telearbeitsrechnern. Damit die Mitarbeitenden einsatzfähig bleiben, SOLLTEN für sie Kontaktpersonen für Hard- und Softwareprobleme benannt werden;OPS.1.2.4.A9 Betreuungs- und Wartungskonzept für Telearbeitsplätze (S) [ITBetrieb, Mitarbeitende] Für Telearbeitsplätze SOLLTE ein spezielles Betreuungs- und Wartungskonzept erstellt werden. Darin SOLLTEN folgende Aspekte geregelt werden: Kontaktperson des IT-Betriebs, Wartungstermine, Fernwartung, Transport der IT-Geräte und Einführung von Standard-Telearbeitsrechnern. Damit die Mitarbeitenden einsatzfähig bleiben, SOLLTEN für sie Kontaktpersonen für Hard- und Softwareprobleme benannt werden.
Wie wird sichergestellt, dass Telearbeit in das übergreifende Sicherheitskonzept integriert ist?;Das Sicherheitskonzept für Telearbeit sollte auf das übergreifende Sicherheitskonzept der Institution abgestimmt und regelmäßig aktualisiert werden.;"OPS.1.2.4.A6 Erstellen eines Sicherheitskonzeptes für Telearbeit (S) 
Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden."
Wie wird der Schutzbedarf der Informationen bei der Entscheidung für Telearbeit berücksichtigt?;Vor Einrichtung des Telearbeitsplatzes sollte im Rahmen einer Anforderungsanalyse auch dokumentiert werden, welchen Schutzbedarf die dort verarbeiteten Informationen haben.;OPS.1.2.4.A10 Durchführung einer Anforderungsanalyse für den Telearbeitsplatz (S) [IT-Betrieb] Bevor ein Telearbeitsplatz eingerichtet wird, SOLLTE eine Anforderungsanalyse durchgeführt werden. Daraus SOLLTE z. B. hervorgehen, welche Hard- und Software-Komponenten für den Telearbeitsplatz benötigt werden. Die Anforderungen an den jeweiligen Telearbeitsplatz SOLLTEN mit den ITVerantwortlichen abgestimmt werden. Es SOLLTE immer festgestellt und dokumentiert werden, welchen Schutzbedarf die am Telearbeitsplatz verarbeiteten Informationen haben.
Was versteht der IT-Grundschutz unter Fernwartung?;Fernwartung ist ein zeitlich begrenzter Zugriff auf IT-Systeme von einem anderen System aus, um Konfigurations-, Wartungs- oder Reparaturarbeiten durchzuführen. Sie kann aktiv oder passiv erfolgen.;1.1. Einleitung Mit dem Begriff Fernwartung wird ein zeitlich begrenzter Zugriff auf IT-Systeme und die darauf laufenden Anwendungen bezeichnet, der von einem anderen IT-System aus erfolgt. Der Zugriff kann z. B. dazu dienen, Konfigurations-, Wartungs- oder Reparaturarbeiten durchzuführen. Die Fernwartung kann auf unterschiedliche Weise geschehen. Bei der Fernwartung von Clients werden oft die Tastatur- und Maussignale von IT-Systemen von den Administrierenden an ein entferntes IT-System übertragen. Das entfernte IT-System überträgt die Bildschirmausgabe an das IT-System der Administrierenden. Die Administrierenden führen Aktionen auf dem entfernten IT-System so aus, als wenn sie selbst vor Ort wären (aktive Fernwartung). Bei der Fernwartung von Servern wird oft die Einund Ausgabe der Konsole übertragen. Bei der passiven Fernwartung werden nur die Bildschirminhalte eines IT-Systems zu den Administrierenden übertragen. Administrierende erteilen den Benutzenden vor Ort Anweisungen, die von ihnen ausgeführt und von den Administrierenden beobachtet werden. Allerdings erweist sich dieses Vorgehen in der Praxis meist als sehr zeitintensiv und umständlich, weshalb häufig dem ITBetrieb voller Zugriff über das IT-System zugewiesen wird. Da sich viele IT-Systeme außerhalb der Reichweite ihrer Administrierenden befinden (z. B. in entfernten Rechenzentren, Industrieanlagen oder einem Außenstandort ohne IT-Personal), wird Fernwartung in vielen Institutionen eingesetzt. Bei der Fernwartung wird oft über unsichere Netze auf interne IT-Systeme und Anwendungen einer Institution zugegriffen. Wegen der dabei bestehenden tiefgreifenden Eingriffsmöglichkeiten in diese IT-Systeme und Anwendungen ist die Absicherung von Fernwartungskomponenten von besonderer Bedeutung.
Muss der Einsatz von Fernwartung geplant werden?;Ja, der Einsatz der Fernwartung muss technisch und organisatorisch an die Institution angepasst und bedarfsgerecht geplant werden. Dabei ist festzulegen, welche Systeme ferngewartet werden und wer dafür zuständig ist.;OPS.1.2.5.A1 Planung des Einsatzes der Fernwartung (B) Der Einsatz der Fernwartung MUSS an die Institution angepasst werden. Die Fernwartung MUSS hinsichtlich technischer und organisatorischer Aspekte bedarfsgerecht geplant werden. Dabei MUSS mindestens berücksichtigt werden, welche IT-Systeme ferngewartet werden sollen und wer dafür zuständig ist.
Dürfen Clients ohne Zustimmung der Benutzer ferngewartet werden?;Nein, bei der Fernwartung von Clients darf eine Verbindung nur nach ausdrücklicher Zustimmung der Benutzenden aufgebaut werden. Dies verhindert unbemerkte Zugriffe auf Arbeitsplatzrechner.;OPS.1.2.5.A2 Sicherer Verbindungsaufbau bei der Fernwartung von Clients (B) [Benutzende] Wird per Fernwartung auf Desktop-Umgebungen von Clients zugegriffen, MUSS die Fernwartungssoftware so konfiguriert sein, dass sie eine Verbindung erst nach expliziter Zustimmung der Benutzenden aufbaut.
Warum ist Verschlüsselung bei Fernwartung wichtig?;Fernwartungsverbindungen über nicht vertrauenswürdige Netze müssen verschlüsselt werden, um die übertragenen Informationen vor Abhören und Manipulation zu schützen. Auch interne Verbindungen sollten verschlüsselt werden.;OPS.1.2.5.A3 Absicherung der Schnittstellen zur Fernwartung (B) Die möglichen Zugänge und Kommunikationsverbindungen für die Fernwartung MÜSSEN auf das notwendige Maß beschränkt werden. Alle Fernwartungsverbindungen MÜSSEN nach dem Fernzugriff getrennt werden. Es MUSS sichergestellt werden, dass Fernwartungssoftware nur auf IT-Systemen installiert ist, auf denen sie benötigt wird. Fernwartungsverbindungen über nicht vertrauenswürdige Netze MÜSSEN verschlüsselt werden. Alle anderen Fernwartungsverbindungen SOLLTEN verschlüsselt werden.
Wo sollten Regelungen zur Fernwartung dokumentiert werden?;Es sollte eine Richtlinie zur Fernwartung erstellt werden, die alle relevanten Regelungen zur Fernwartung dokumentiert und allen beteiligten Rollen bei Planung, Aufbau und Betrieb bekannt gemacht wird.;OPS.1.2.5.A6 Erstellung einer Richtlinie für die Fernwartung (S) Die Institution SOLLTE eine Richtlinie zur Fernwartung erstellen, in der alle relevanten Regelungen zur Fernwartung dokumentiert werden. Die Richtlinie SOLLTE allen Zuständigen bekannt sein, die an der Konzeption, dem Aufbau und dem Betrieb der Fernwartung beteiligt sind.
Wie müssen Fernwartungszugänge dokumentiert werden?;Fernwartungszugänge sollten dokumentiert werden, inklusive ihres Status. Die Dokumentation sollte geschützt abgelegt und für das Notfallmanagement verfügbar sein.;OPS.1.2.5.A7 Dokumentation bei der Fernwartung (S) Die Fernwartung SOLLTE geeignet dokumentiert werden. Aus der Dokumentation SOLLTE hervorgehen, welche Fernwartungszugänge existieren und ob diese aktiviert sind. Die Dokumente SOLLTEN an geeigneten Orten und vor unberechtigtem Zugriff geschützt abgelegt werden. Die Dokumente SOLLTEN im Rahmen des Notfallmanagements zur Verfügung stehen.
Welche Protokolle sollen bei Fernwartung eingesetzt werden?;Es sollten nur als sicher eingestufte Kommunikationsprotokolle mit starken kryptografischen Verfahren verwendet werden. Die eingesetzten kryptografischen Verfahren und Schlüssel sollten regelmäßig überprüft und angepasst werden. Zugriffe aus öffentlichen Netzen SOLLTEN nur über ein abgesichertes Virtuelles Privates Netz (VPN) zugelassen werden werden.;OPS.1.2.5.A8 Sichere Protokolle bei der Fernwartung (S) Nur als sicher eingestufte Kommunikationsprotokolle SOLLTEN eingesetzt werden. Dafür SOLLTEN sichere kryptografische Verfahren verwendet werden. Die Stärke der verwendeten kryptografischen Verfahren und Schlüssel SOLLTE regelmäßig überprüft und bei Bedarf angepasst werden. Wird auf die Fernwartungszugänge von IT-Systemen im internen Netz über ein öffentliches Datennetz zugegriffen, SOLLTE ein abgesichertes Virtuelles Privates Netz (VPN) genutzt werden.
Wie ist der Einsatz von Online-Diensten zur Fernwartung zu regeln?;Die Nutzung von Online-Diensten sollte auf wenige Ausnahmefälle beschränkt werden. Es ist sicherzustellen, dass keine automatischen Verbindungen aufgebaut werden und eine Ende-zu-Ende-Verschlüsselung erfolgt.;OPS.1.2.5.A5 Einsatz von Online-Diensten (S) Die Institution SOLLTE festlegen, unter welchen Umständen Online-Dienste zur Fernwartung genutzt werden dürfen, bei denen die Verbindung über einen externen Server hergestellt wird. Der Einsatz solcher Dienste SOLLTE generell auf möglichst wenige Fälle beschränkt werden. Die IT-Systeme SOLLTEN keine automatisierten Verbindungen zum Online-Dienst aufbauen. Es SOLLTE sichergestellt werden, dass der eingesetzte Online-Dienst die übertragenen Informationen Ende-zu-Endeverschlüsselt.
